"Word","Length","Freq_HAL","Log_Freq_HAL","POS"
"accordance","10","4,854","8.488","NN"
"accorded","8","563","6.333","VB"
"according","9","64,745","11.078","VB|NN"
"accordingly","11","5,108","8.539","RB"
"accordion","9","590","6.380","NN"
"accords","7","974","6.881","NN|VB"
"accost","6","31","3.434","VB"
"accosted","8","168","5.124","VB"
"accosting","9","24","3.178","VB|NN"
"account","7","60,958","11.018","NN|VB"
"accountability","14","1,478","7.298","NN"
"accountable","11","2,339","7.757","JJ"
"accountant","10","1,527","7.331","NN"
"accountants","11","1,506","7.317","NN"
"accounted","9","1,502","7.315","VB"
"accounting","10","15,754","9.665","NN|VB"
"accounts","8","18,019","9.799","NN|VB"
"accredit","8","35","3.555","VB"
"accreditation","13","561","6.330","NN"
"accredited","10","1,049","6.956","VB"
"accrue","6","611","6.415","VB"
"accrued","7","230","5.438","VB"
"accrues","7","63","4.143","VB"
"accruing","8","155","5.043","VB|NN"
"acculturated","12","24","3.178","VB|JJ"
"acculturation","13","35","3.555","NN"
"accumulate","10","1,392","7.238","VB"
"accumulated","11","2,137","7.667","VB"
"accumulates","11","249","5.517","VB"
"accumulating","12","553","6.315","VB"
"accumulation","12","1,206","7.095","NN"
"accuracy","8","10,534","9.262","NN"
"accurate","8","21,492","9.975","JJ"
"accurately","10","5,396","8.593","RB"
"accurst","7","4","1.386","JJ"
"accusation","10","2,176","7.685","NN"
"accusations","11","3,477","8.154","NN"
"accusative","10","103","4.635","JJ|NN"
"accuse","6","3,798","8.242","VB"
"accused","7","9,093","9.115","VB|NN|JJ"
"accuses","7","809","6.696","VB"
"accusing","8","2,296","7.739","VB|JJ"
"accusingly","10","39","3.664","RB"
"accustom","8","75","4.317","VB"
"accustomed","10","1,691","7.433","VB|JJ"
"ace","3","6,967","8.849","NN"
"acerbic","7","76","4.331","JJ"
"aces","4","1,837","7.516","NN"
"acetate","7","547","6.304","NN"
"acetone","7","423","6.047","NN"
"acetylene","9","82","4.407","NN"
"ache","4","846","6.741","VB|NN"
"ached","5","296","5.690","VB"
"aches","5","419","6.038","NN|VB"
"achieve","7","15,544","9.651","VB"
"achieved","8","8,305","9.025","VB|JJ"
"achievement","11","3,925","8.275","NN"
"achievements","12","2,085","7.643","NN"
"achieves","8","762","6.636","VB"
"achieving","9","3,180","8.065","VB|NN"
"Achilles","8","688","6.534","NN"
"aching","6","1,099","7.002","VB"
"acid","4","13,610","9.519","NN|JJ"
"acidic","6","809","6.696","JJ"
"acidity","7","256","5.545","NN"
"acids","5","2,326","7.752","NN"
"acknowledge","11","6,783","8.822","VB"
"acknowledged","12","3,936","8.278","VB|JJ"
"acknowledgement","15","1,823","7.508","NN"
"acknowledges","12","1,067","6.973","VB"
"acknowledging","13","1,216","7.103","VB"
"acknowledgment","14","948","6.854","NN"
"acknowledgments","15","409","6.014","NN"
"acme","4","911","6.815","NN"
"acne","4","536","6.284","NN"
"acolyte","7","444","6.096","NN"
"acorn","5","8,301","9.024","NN"
"acorns","6","359","5.883","NN"
"acoustic","8","5,401","8.594","JJ"
"acoustical","10","270","5.598","JJ"
"acoustically","12","157","5.056","RB"
"acoustics","9","1,240","7.123","NN"
"acquaint","8","167","5.118","VB"
"acquaintance","12","1,275","7.151","NN"
"acquainted","10","1,022","6.930","VB"
"acquiesce","9","108","4.682","VB"
"acquiesced","10","111","4.710","VB"
"acquiescence","12","91","4.511","NN"
"acquiescent","11","19","2.944","JJ"
"acquire","7","6,529","8.784","VB"
"acquired","8","6,388","8.762","VB"
"acquires","8","460","6.131","VB"
"acquiring","9","1,952","7.577","VB"
"acquisition","11","5,006","8.518","NN"
"acquisitions","12","1,098","7.001","NN"
"acquisitive","11","40","3.689","JJ"
"acquisitiveness","15","4","1.386","NN"
"acquit","6","100","4.605","VB"
"acquittal","9","249","5.517","NN"
"acquitted","9","608","6.410","VB"
"acre","4","1,554","7.349","NN"
"acreage","7","231","5.442","NN"
"acres","5","3,930","8.276","NN"
"acrid","5","111","4.710","JJ"
"acrimonious","11","113","4.727","JJ"
"acrimony","8","89","4.489","NN"
"acrobat","7","2,449","7.803","NN"
"acrobatic","9","167","5.118","JJ"
"acrobatics","10","401","5.994","NN"
"acrobats","8","66","4.190","NN"
"acronym","7","1,966","7.584","NN"
"Acropolis","9","109","4.691","NN"
"across","6","62,336","11.040","minor"
"acrylic","7","844","6.738","NN|JJ"
"act","3","72,216","11.187","NN|VB"
"acted","5","4,894","8.496","VB"
"acting","6","16,012","9.681","VB|NN"
"action","6","77,756","11.261","NN"
"actions","7","29,726","10.300","NN"
"activate","8","3,486","8.157","VB"
"activated","9","3,246","8.085","VB"
"activating","10","655","6.485","VB"
"activation","10","1,918","7.559","NN"
"active","6","35,565","10.479","JJ"
"actively","8","7,101","8.868","RB"
"activism","8","1,558","7.351","NN"
"activist","8","3,525","8.168","NN"
"activities","10","32,765","10.397","NN"
"activity","8","26,484","10.184","NN"
"actor","5","10,471","9.256","NN"
"actors","6","7,249","8.889","NN"
"actor's","7","363","5.894","#"
"actress","7","4,996","8.516","NN"
"actresses","9","1,663","7.416","NN"
"acts","4","19,423","9.874","NN|VB"
"actual","6","40,919","10.619","JJ|NN"
"actualities","11","38","3.638","NN"
"actuality","9","950","6.856","NN"
"actually","8","196,457","12.188","RB"
"actuary","7","49","3.892","NN"
"acuity","6","228","5.429","NN"
"acupuncture","11","525","6.263","NN"
"acute","5","2,427","7.794","JJ|NN"
"acutely","7","332","5.805","RB"
"acuteness","9","19","2.944","RB"
"ad","2","43,254","10.675","NN|minor"
"Ada","3","15,432","9.644","NN"
"adage","5","503","6.221","NN"
"Adam","4","19,626","9.885","NN|RB"
"adamant","7","624","6.436","JJ"
"adamantly","9","329","5.796","RB"
"Adam's","6","744","6.612","encl"
"adapt","5","3,389","8.128","VB"
"adaptability","12","229","5.434","NN"
"adaptable","9","802","6.687","JJ"
"adaptation","10","2,000","7.601","NN"
"adaptations","11","510","6.234","NN"
"adapted","7","3,098","8.039","VB"
"adapter","7","15,074","9.621","NN"
"adapters","8","4,651","8.445","NN|VB"
"adapting","8","729","6.592","VB"
"Ada's","5","166","5.112","encl"
"add","3","113,856","11.643","VB"
"added","5","62,085","11.036","VB"
"addendum","8","1,340","7.200","NN"
"adder","5","351","5.861","NN"
"addict","6","1,887","7.543","NN"
"addicted","8","2,311","7.745","VB|JJ"
"addiction","9","3,437","8.142","NN"
"addicts","7","1,909","7.554","NN"
"adding","6","24,066","10.089","VB|NN"
"addition","8","46,938","10.757","NN"
"additional","10","56,018","10.933","JJ"
"additionally","12","6,651","8.803","RB"
"additions","9","9,274","9.135","NN"
"additive","8","903","6.806","NN"
"additives","9","1,265","7.143","NN"
"addle","5","7","1.946","VB"
"address","7","221,551","12.308","NN"
"addressed","9","12,135","9.404","VB"
"addressee","9","230","5.438","NN"
"addressees","10","100","4.605","NN"
"addresses","9","35,300","10.472","NN"
"addressing","10","7,146","8.874","VB"
"adds","4","11,870","9.382","VB"
"adduce","6","87","4.466","VB"
"Adele","5","212","5.357","NN"
"adept","5","1,754","7.470","JJ|NN"
"adequacy","8","407","6.009","NN"
"adequate","8","8,178","9.009","JJ"
"adequately","10","2,873","7.963","RB"
"adhere","6","1,932","7.566","VB"
"adhered","7","387","5.958","VB"
"adherence","9","903","6.806","NN"
"adherent","8","143","4.963","JJ|NN"
"adherents","9","692","6.540","NN"
"adheres","7","263","5.572","VB"
"adhesion","8","377","5.932","NN"
"adhesive","8","938","6.844","JJ"
"adhesives","9","160","5.075","NN"
"adieu","5","142","4.956","minor|NN"
"adios","5","494","6.203","minor|NN"
"adipose","7","124","4.820","JJ|NN"
"adirondack","10","352","5.864","NN"
"adirondacks","11","119","4.779","NN"
"adjacent","8","3,297","8.101","JJ"
"adjectival","10","39","3.664","JJ"
"adjective","9","1,045","6.952","NN"
"adjectives","10","618","6.426","NN"
"adjoin","6","10","2.303","VB"
"adjoined","8","18","2.890","VB"
"adjoining","9","627","6.441","VB"
"adjoins","7","33","3.497","VB"
"adjourn","7","167","5.118","VB"
"adjourned","9","221","5.398","VB"
"adjourning","10","7","1.946","VB|NN"
"adjournment","11","104","4.644","NN"
"adjourns","8","11","2.398","VB"
"adjudge","7","11","2.398","VB"
"adjudged","8","64","4.159","VB"
"adjudging","9","2","0.693","VB|NN"
"adjudicate","10","117","4.762","VB"
"adjudication","12","219","5.389","NN"
"adjunct","7","746","6.615","NN"
"adjuncts","8","110","4.700","NN"
"adjure","6","10","2.303","VB"
"adjust","6","8,566","9.056","VB"
"adjustable","10","2,555","7.846","JJ"
"adjusted","8","4,511","8.414","VB|JJ"
"adjusting","9","2,340","7.758","VB"
"adjustment","10","4,675","8.450","NN"
"adjustments","11","2,653","7.883","NN"
"adjusts","7","587","6.375","VB"
"Adlai","5","168","5.124","NN"
"administer","10","2,314","7.747","VB"
"administered","12","3,042","8.020","VB"
"administering","13","1,323","7.188","VB"
"administers","11","385","5.953","VB"
"administration","14","29,660","10.298","NN"
"administration's","16","918","6.822","encl"
"administrative","14","9,480","9.157","JJ|NN"
"administratively","16","96","4.564","RB"
"administrator","13","23,369","10.059","NN"
"administrators","14","7,066","8.863","NN"
"admirable","9","992","6.900","JJ"
"admirably","9","417","6.033","RB"
"admiral","7","4,919","8.501","NN"
"admirals","8","250","5.521","NN"
"admiralty","9","252","5.529","NN"
"admiration","10","1,381","7.231","NN"
"admire","6","3,160","8.058","VB"
"admired","7","1,365","7.219","VB|JJ"
"admirer","7","417","6.033","NN"
"admirers","8","364","5.897","NN"
"admires","7","250","5.521","VB"
"admiring","8","622","6.433","VB|JJ"
"admiringly","10","34","3.526","RB"
"admissible","10","366","5.903","JJ"
"admission","9","6,004","8.700","NN"
"admissions","10","1,744","7.464","NN"
"admit","5","27,202","10.211","VB"
"admits","6","2,676","7.892","VB|NN"
"admittance","10","329","5.796","NN"
"admitted","8","8,428","9.039","VB|JJ"
"admittedly","10","4,176","8.337","RB"
"admitting","9","2,277","7.731","VB|NN"
"admixed","7","1","0.000","VB"
"admonish","8","140","4.942","VB"
"admonished","10","255","5.541","VB"
"admonishing","11","62","4.127","VB"
"admonishments","13","39","3.664","NN"
"admonition","10","298","5.697","NN"
"admonitions","11","93","4.533","NN"
"ado","3","662","6.495","NN"
"adobe","5","6,956","8.847","NN"
"adolescence","11","788","6.669","NN"
"adolescent","10","1,523","7.328","NN|JJ"
"adolescents","11","872","6.771","NN"
"adolescent's","12","2","0.693","encl"
"Adolf","5","1,324","7.188","NN"
"Adonis","6","496","6.207","NN"
"adopt","5","5,702","8.649","VB"
"adopted","7","9,446","9.153","VB"
"adopting","8","1,825","7.509","VB"
"adoption","8","8,651","9.065","NN"
"adopts","6","452","6.114","VB"
"adorable","8","935","6.841","JJ"
"adoration","9","432","6.068","NN"
"adore","5","1,059","6.965","VB"
"adored","6","356","5.875","VB"
"adores","6","216","5.375","VB"
"adorn","5","121","4.796","VB"
"adorned","7","259","5.557","VB"
"adornment","9","241","5.485","NN"
"adorns","6","49","3.892","VB"
"adrenal","7","343","5.838","JJ"
"adrenalin","9","322","5.775","NN"
"Adrian","6","5,332","8.581","NN"
"Adriatic","8","295","5.687","NN"
"adrift","6","237","5.468","RB"
"adroit","6","43","3.761","JJ"
"adroitness","10","3","1.099","NN"
"ads","3","26,673","10.191","NN"
"adsorbed","8","91","4.511","VB"
"adsorbs","7","13","2.565","VB"
"adulation","9","181","5.198","NN"
"adult","5","25,223","10.136","NN|JJ"
"adulterant","10","5","1.609","NN|JJ"
"adulterate","10","19","2.944","VB"
"adulterated","11","65","4.174","VB"
"adulterer","9","89","4.489","NN"
"adulterers","10","157","5.056","NN"
"adulteress","10","55","4.007","NN"
"adulterous","10","145","4.977","JJ"
"adultery","8","1,228","7.113","NN"
"adulthood","9","874","6.773","NN"
"adults","6","11,743","9.371","NN"
"advance","7","79,091","11.278","NN|VB"
"advanced","8","36,516","10.506","VB|JJ"
"advancement","11","4,106","8.320","NN"
"advancements","12","397","5.984","NN"
"advances","8","4,615","8.437","NN|VB"
"advancing","9","2,081","7.641","VB|NN"
"advantage","9","33,506","10.419","NN|VB"
"advantageous","12","1,034","6.941","JJ"
"advantageously","14","35","3.555","RB"
"advantages","10","9,900","9.200","NN"
"advent","6","1,976","7.589","NN"
"adventitious","12","18","2.890","JJ"
"adventure","9","12,865","9.462","NN"
"adventurers","11","1,168","7.063","NN"
"adventures","10","9,517","9.161","NN"
"adventuring","11","224","5.412","VB|NN"
"adventurous","11","1,068","6.974","JJ"
"adverb","6","149","5.004","NN"
"adverbial","9","88","4.477","JJ|NN"
"adverbs","7","184","5.215","NN"
"adversaries","11","414","6.026","NN"
"adversary","9","735","6.600","NN"
"adverse","7","3,099","8.039","JJ"
"adversely","9","903","6.806","RB"
"adversity","9","321","5.771","NN"
"advert","6","902","6.805","NN"
"advertise","9","7,631","8.940","VB"
"advertised","10","6,189","8.731","VB"
"advertisement","13","4,858","8.488","NN"
"advertisements","14","3,924","8.275","NN"
"advertiser","10","1,149","7.047","NN"
"advertisers","11","2,489","7.820","NN"
"advertises","10","839","6.732","VB"
"advertising","11","21,735","9.987","NN|VB"
"advice","6","44,488","10.703","NN"
"advisability","12","59","4.078","NN"
"advisable","9","1,201","7.091","JJ"
"advise","6","9,061","9.112","VB"
"advised","7","5,552","8.622","VB"
"advisedly","9","30","3.401","RB"
"advisement","10","79","4.369","NN"
"adviser","7","1,024","6.931","NN"
"advisers","8","406","6.006","NN"
"advises","7","858","6.755","VB"
"advising","8","994","6.902","VB"
"advisor","7","4,536","8.420","NN"
"advisors","8","1,334","7.196","NN"
"advisory","8","4,271","8.360","JJ"
"advocacy","8","3,825","8.249","NN"
"advocate","8","7,267","8.891","VB"
"advocated","9","1,584","7.368","VB"
"advocates","9","5,650","8.639","VB"
"advocating","10","3,091","8.036","VB"
"Aegean","6","1,582","7.366","NN"
"aerate","6","132","4.883","VB"
"aerated","7","65","4.174","VB"
"aerates","7","20","2.996","VB"
"aeration","8","204","5.318","NN"
"aerator","7","58","4.060","NN"
"aerial","6","2,841","7.952","JJ"
"aerials","7","63","4.143","NN"
"aerobatic","9","185","5.220","JJ"
"aerobic","7","1,375","7.226","JJ"
"aerodynamic","11","503","6.221","JJ"
"aeronaut","8","1","0.000","NN"
"aeronautical","12","557","6.323","JJ"
"aeronautics","11","712","6.568","NN"
"aeroplane","9","218","5.384","NN"
"aerosol","7","421","6.043","NN"
"aerosolized","11","36","3.584","VB"
"aerosols","8","274","5.613","NN"
"aerospace","9","3,557","8.177","NN"
"Aeschylus","9","80","4.382","NN"
"aesthetic","9","1,575","7.362","JJ"
"aesthetics","10","954","6.861","NN"
"afar","4","446","6.100","RB"
"affable","7","81","4.394","JJ"
"affair","6","5,294","8.574","NN"
"affairs","7","12,423","9.427","NN"
"affect","6","18,690","9.836","VB"
"affectation","11","102","4.625","NN"
"affected","8","12,344","9.421","VB"
"affecting","9","3,851","8.256","VB|JJ"
"affectingly","11","0","0.000","RB"
"affection","9","1,910","7.555","NN"
"affectionate","12","1,171","7.066","JJ"
"affectionately","14","258","5.553","RB"
"affections","10","321","5.771","NN"
"affects","7","6,036","8.705","VB"
"afferent","8","77","4.344","JJ"
"affianced","9","17","2.833","JJ|VB"
"affidavit","9","743","6.611","NN"
"affidavits","10","366","5.903","NN"
"affiliate","9","2,464","7.810","VB"
"affiliated","10","4,536","8.420","VB"
"affiliates","10","1,793","7.492","VB"
"affiliation","11","3,018","8.012","NN"
"affiliations","12","1,047","6.954","NN"
"affinities","10","90","4.500","NN"
"affinity","8","1,254","7.134","NN"
"affirm","6","671","6.509","VB"
"affirmation","11","868","6.766","NN"
"affirmations","12","456","6.122","NN"
"affirmative","11","6,289","8.747","JJ|NN"
"affirmatively","13","120","4.787","RB"
"affirmed","8","880","6.780","VB"
"affirming","9","339","5.826","VB"
"affirms","7","338","5.823","VB"
"affix","5","179","5.187","NN"
"affixed","7","281","5.638","VB|JJ"
"afflict","7","120","4.787","VB"
"afflicted","9","731","6.594","VB|JJ"
"affliction","10","392","5.971","NN"
"afflictions","11","151","5.017","NN"
"affluence","9","188","5.236","NN"
"affluent","8","648","6.474","JJ"
"afford","6","18,642","9.833","VB"
"afforded","8","840","6.733","VB"
"affording","9","141","4.949","VB"
"affords","7","395","5.979","VB"
"affricate","9","5","1.609","NN"
"affront","7","340","5.829","NN|VB"
"affronted","9","37","3.611","VB"
"affronting","10","4","1.386","VB|NN"
"Afghan","6","1,397","7.242","JJ|NN"
"Afghanistan","11","1,771","7.479","NN"
"Afghans","7","274","5.613","NN"
"aficionado","10","153","5.030","NN"
"afield","6","296","5.690","RB"
"afire","5","163","5.094","RB"
"aflame","6","81","4.394","JJ"
"afloat","6","415","6.028","RB"
"afoot","5","435","6.075","RB"
"aforementioned","14","2,971","7.997","JJ"
"aforesaid","9","181","5.198","JJ"
"aforethought","12","62","4.127","NN"
"afoul","5","208","5.338","RB"
"afraid","6","23,303","10.056","JJ"
"Africa","6","17,142","9.749","NN"
"African","7","11,473","9.348","JJ|NN"
"Africans","8","1,565","7.356","NN"
"afro","4","293","5.680","JJ"
"aft","3","934","6.839","JJ|NN|RB"
"after","5","414,103","12.934","minor"
"afterbirth","10","57","4.043","NN"
"aftercare","9","111","4.710","NN"
"aftereffect","11","36","3.584","NN"
"afterglow","9","180","5.193","NN"
"afterlife","9","729","6.592","NN"
"aftermath","9","1,044","6.951","NN"
"afternoon","9","10,525","9.262","NN"
"afternoons","10","820","6.709","NN"
"afternoon's","11","85","4.443","encl"
"aftershave","10","47","3.850","NN"
"aftertaste","10","144","4.970","NN"
"afterthought","12","413","6.023","NN"
"afterward","9","1,813","7.503","RB"
"afterwards","10","7,471","8.919","RB"
"again","5","249,680","12.428","RB"
"against","7","172,615","12.059","minor"
"Agamemnon","9","170","5.136","NN"
"Agamemnon's","11","16","2.773","#"
"agape","5","244","5.497","RB|JJ"
"agar","4","804","6.690","NN"
"Agatha","6","230","5.438","NN"
"age","3","66,835","11.110","NN|VB"
"aged","4","3,437","8.142","JJ"
"ageless","7","177","5.176","JJ"
"agencies","8","13,501","9.511","NN"
"agency","6","22,870","10.038","NN"
"agenda","6","9,832","9.193","NN"
"agent","5","22,078","10.002","NN"
"agents","6","14,778","9.601","NN"
"agent's","7","890","6.791","encl"
"ages","4","17,369","9.762","NN|VB"
"Aggie","5","520","6.254","NN"
"Aggies","6","302","5.710","NN"
"agglomerate","11","12","2.485","NN|JJ"
"agglomeration","13","62","4.127","NN"
"agglutinating","13","25","3.219","VB|NN"
"agglutination","13","5","1.609","NN"
"aggrandize","10","27","3.296","VB"
"aggravate","9","321","5.771","VB"
"aggravated","10","793","6.676","VB"
"aggravates","10","52","3.951","VB"
"aggravation","11","353","5.866","NN"
"aggregate","9","1,265","7.143","JJ|NN"
"aggregation","11","316","5.756","NN"
"aggregations","12","77","4.344","NN"
"aggression","10","3,010","8.010","NN"
"aggressions","11","92","4.522","NN"
"aggressive","10","6,889","8.838","JJ"
"aggressively","12","1,289","7.162","RB"
